X,Y,#
3656,2740,41
x,y
[3459  880]
[3455  884]
[3455  885]
[3454  886]
[3454  887]
[3453  888]
[3453  891]
[3454  892]
[3454  894]
[3457  897]
[3458  897]
[3459  898]
[3461  898]
[3462  897]
[3467  897]
[3469  895]
[3469  894]
[3471  892]
[3471  891]
[3472  890]
[3472  888]
[3471  887]
[3472  886]
[3472  882]
[3471  881]
[3471  880]
[3468  877]
[638 830]
[638 831]
[637 832]
[637 833]
[636 834]
[637 835]
[637 836]
[638 836]
[639 837]
[644 837]
[644 835]
[643 834]
[643 832]
[642 831]
[641 831]
[640 830]
[1955  828]
[1953  830]
[1953  831]
[1952  832]
[1952  837]
[1955  840]
[1958  840]
[1959  839]
[1960  839]
[1960  838]
[1961  837]
[1961  830]
[1959  828]
[426 822]
[425 823]
[424 823]
[423 824]
[423 825]
[422 826]
[422 828]
[423 829]
[425 829]
[426 830]
[430 830]
[431 831]
[434 831]
[436 829]
[436 828]
[435 827]
[435 826]
[433 824]
[432 824]
[431 823]
[431 822]
[1747  816]
[1747  817]
[1745  819]
[1745  820]
[1746  821]
[1746  822]
[1748  824]
[1751  824]
[1753  822]
[1753  819]
[1750  816]
[1001  716]
[999 718]
[1000  719]
[1000  721]
[1001  721]
[1002  722]
[1002  723]
[1004  723]
[1005  722]
[1007  722]
[1007  721]
[1008  720]
[1007  719]
[1007  718]
[1005  716]
[873 707]
[872 708]
[869 708]
[869 712]
[870 713]
[872 713]
[873 714]
[874 714]
[875 713]
[875 711]
[874 710]
[874 708]
[341 610]
[340 611]
[339 611]
[338 612]
[338 616]
[339 617]
[339 618]
[340 618]
[341 619]
[342 619]
[343 620]
[347 620]
[348 621]
[350 621]
[352 619]
[352 618]
[351 617]
[351 614]
[350 614]
[346 610]
[1419  598]
[1418  599]
[1418  603]
[1419  604]
[1420  604]
[1421  605]
[1422  604]
[1423  604]
[1423  602]
[1424  601]
[1423  600]
[1423  599]
[1422  599]
[1421  598]
[498 487]
[496 489]
[495 489]
[494 490]
[494 492]
[493 493]
[493 496]
[494 497]
[494 498]
[495 499]
[496 499]
[499 502]
[502 502]
[503 503]
[504 503]
[505 502]
[507 502]
[508 501]
[508 500]
[509 499]
[509 495]
[508 494]
[508 492]
[506 490]
[505 490]
[504 489]
[504 488]
[499 488]
[454 208]
[453 209]
[453 211]
[454 211]
[455 212]
[457 212]
[458 213]
[460 213]
[460 211]
[458 209]
[458 208]
[456 208]
[455 209]
[1016  189]
[1014  191]
[1014  195]
[1018  199]
[1019  199]
[1021  197]
[1021  192]
[1019  190]
[1019  189]
[594  97]
[593  98]
[591  98]
[591 100]
[590 101]
[591 102]
[591 103]
[592 104]
[592 105]
[593 105]
[594 106]
[596 106]
[597 107]
[601 107]
[601 105]
[602 104]
[602 103]
[601 102]
[601 100]
[600 100]
[599  99]
[598  99]
[597  98]
[596  98]
[595  97]
[616   2]
[615   3]
[616   4]
[616   7]
[617   7]
[618   8]
[619   8]
[620   9]
[623   9]
[623   7]
[622   6]
[622   4]
[621   3]
[619   3]
[618   4]
