X,Y,#
3656,2740,133
x,y
[3247 2734]
[3246 2735]
[3245 2735]
[3244 2736]
[3244 2739]
[3256 2739]
[3255 2738]
[3255 2737]
[3253 2735]
[3252 2735]
[3251 2734]
[1459 2097]
[1460 2097]
[1461 2098]
[1463 2098]
[1464 2097]
[1465 2097]
[1465 2096]
[1466 2095]
[1466 2092]
[1465 2091]
[1463 2091]
[1462 2090]
[ 687 2083]
[ 686 2084]
[ 685 2084]
[ 685 2085]
[ 684 2086]
[ 683 2086]
[ 682 2085]
[ 682 2084]
[ 680 2086]
[ 678 2086]
[ 676 2084]
[ 676 2085]
[ 675 2086]
[ 672 2086]
[ 670 2088]
[ 671 2089]
[ 670 2090]
[ 669 2090]
[ 668 2091]
[ 667 2090]
[ 667 2093]
[ 666 2094]
[ 666 2097]
[ 665 2098]
[ 664 2098]
[ 664 2102]
[ 667 2105]
[ 667 2106]
[ 671 2106]
[ 672 2107]
[ 674 2107]
[ 675 2108]
[ 678 2108]
[ 679 2109]
[ 682 2109]
[ 683 2110]
[ 683 2111]
[ 682 2112]
[ 683 2111]
[ 684 2111]
[ 685 2110]
[ 689 2110]
[ 690 2111]
[ 689 2112]
[ 690 2111]
[ 692 2111]
[ 693 2112]
[ 693 2113]
[ 700 2113]
[ 701 2114]
[ 702 2114]
[ 703 2115]
[ 705 2115]
[ 706 2116]
[ 711 2116]
[ 712 2117]
[ 713 2117]
[ 714 2118]
[ 715 2118]
[ 716 2119]
[ 715 2120]
[ 716 2120]
[ 717 2119]
[ 719 2119]
[ 720 2120]
[ 721 2119]
[ 724 2119]
[ 725 2120]
[ 726 2120]
[ 727 2121]
[ 732 2121]
[ 734 2123]
[ 739 2123]
[ 740 2124]
[ 742 2124]
[ 743 2123]
[ 744 2124]
[ 747 2124]
[ 748 2125]
[ 751 2125]
[ 752 2126]
[ 753 2125]
[ 754 2126]
[ 758 2126]
[ 759 2127]
[ 759 2126]
[ 760 2125]
[ 761 2125]
[ 762 2126]
[ 763 2126]
[ 764 2125]
[ 774 2125]
[ 775 2124]
[ 776 2124]
[ 779 2121]
[ 779 2120]
[ 780 2119]
[ 780 2118]
[ 782 2116]
[ 782 2112]
[ 781 2111]
[ 781 2109]
[ 778 2106]
[ 777 2106]
[ 776 2105]
[ 776 2104]
[ 775 2104]
[ 773 2102]
[ 771 2102]
[ 768 2099]
[ 766 2099]
[ 764 2097]
[ 765 2096]
[ 767 2096]
[ 765 2096]
[ 763 2098]
[ 761 2096]
[ 756 2096]
[ 755 2095]
[ 753 2095]
[ 752 2094]
[ 752 2093]
[ 748 2093]
[ 746 2091]
[ 746 2090]
[ 743 2090]
[ 743 2092]
[ 742 2093]
[ 740 2091]
[ 740 2090]
[ 735 2090]
[ 734 2091]
[ 733 2090]
[ 732 2090]
[ 730 2088]
[ 729 2089]
[ 728 2089]
[ 727 2088]
[ 727 2087]
[ 726 2088]
[ 725 2088]
[ 724 2089]
[ 723 2088]
[ 723 2086]
[ 723 2087]
[ 722 2088]
[ 721 2088]
[ 720 2087]
[ 721 2086]
[ 720 2086]
[ 718 2088]
[ 717 2088]
[ 716 2087]
[ 716 2086]
[ 713 2086]
[ 712 2085]
[ 711 2085]
[ 710 2086]
[ 709 2086]
[ 708 2085]
[ 709 2084]
[ 708 2084]
[ 707 2085]
[ 705 2085]
[ 704 2084]
[ 704 2085]
[ 703 2086]
[ 702 2086]
[ 700 2084]
[ 694 2084]
[ 693 2085]
[ 689 2085]
[ 688 2084]
[ 688 2083]
[ 793 2073]
[ 793 2078]
[ 792 2079]
[ 794 2079]
[ 795 2080]
[ 798 2080]
[ 799 2079]
[ 800 2079]
[ 801 2078]
[ 801 2075]
[ 802 2074]
[ 801 2073]
[1250 2032]
[1246 2036]
[1246 2037]
[1245 2038]
[1245 2039]
[1246 2040]
[1246 2041]
[1247 2042]
[1247 2044]
[1250 2047]
[1254 2047]
[1257 2044]
[1257 2036]
[1253 2032]
[2905 2020]
[2904 2021]
[2903 2021]
[2902 2022]
[2901 2022]
[2900 2023]
[2900 2024]
[2898 2026]
[2899 2027]
[2899 2028]
[2901 2030]
[2903 2030]
[2904 2031]
[2906 2031]
[2907 2030]
[2908 2030]
[2911 2027]
[2911 2026]
[2912 2025]
[2912 2024]
[2911 2023]
[2911 2021]
[2910 2020]
[3180 2005]
[3177 2008]
[3177 2010]
[3176 2011]
[3176 2013]
[3174 2015]
[3174 2016]
[3173 2017]
[3173 2018]
[3172 2019]
[3172 2021]
[3173 2022]
[3173 2023]
[3174 2024]
[3174 2025]
[3176 2027]
[3177 2027]
[3178 2028]
[3181 2028]
[3184 2025]
[3184 2024]
[3185 2023]
[3185 2021]
[3187 2019]
[3187 2018]
[3188 2017]
[3188 2012]
[3187 2011]
[3187 2008]
[3184 2005]
[1368 1973]
[1366 1975]
[1366 1978]
[1367 1978]
[1368 1979]
[1370 1979]
[1371 1978]
[1371 1977]
[1372 1976]
[1372 1974]
[1371 1973]
[ 938 1965]
[ 938 1966]
[ 936 1968]
[ 935 1968]
[ 936 1969]
[ 935 1970]
[ 935 1971]
[ 936 1972]
[ 936 1974]
[ 938 1976]
[ 939 1975]
[ 940 1976]
[ 941 1976]
[ 941 1975]
[ 943 1973]
[ 943 1971]
[ 944 1970]
[ 943 1969]
[ 942 1969]
[ 939 1966]
[ 939 1965]
[ 997 1947]
[ 996 1948]
