X,Y,#
5897,2304,BAD
5898,2304,BAD
5899,2304,BAD
5900,2304,BAD
5901,2304,BAD
5883,2305,BAD
5884,2305,BAD
5885,2305,BAD
5886,2305,BAD
5887,2305,BAD
5888,2305,BAD
5889,2305,BAD
5890,2305,BAD
5891,2305,BAD
5892,2305,BAD
5893,2305,BAD
5894,2305,BAD
5895,2305,BAD
5896,2305,BAD
5897,2305,BAD
5898,2305,BAD
5899,2305,BAD
5900,2305,BAD
5901,2305,BAD
5902,2305,BAD
5883,2306,BAD
5884,2306,BAD
5885,2306,BAD
5886,2306,BAD
5887,2306,BAD
5888,2306,BAD
5889,2306,BAD
5890,2306,BAD
5891,2306,BAD
5892,2306,BAD
5893,2306,BAD
5894,2306,BAD
5895,2306,BAD
5896,2306,BAD
5897,2306,BAD
5898,2306,BAD
5899,2306,BAD
5900,2306,BAD
5901,2306,BAD
5902,2306,BAD
5883,2307,BAD
5884,2307,BAD
5885,2307,BAD
5886,2307,BAD
5887,2307,BAD
5888,2307,BAD
5889,2307,BAD
5890,2307,BAD
5891,2307,BAD
5892,2307,BAD
5893,2307,BAD
5894,2307,BAD
5895,2307,BAD
5896,2307,BAD
5897,2307,BAD
5898,2307,BAD
5899,2307,BAD
5900,2307,BAD
5901,2307,BAD
5902,2307,BAD
5883,2308,BAD
5884,2308,BAD
5885,2308,BAD
5886,2308,BAD
5887,2308,BAD
5888,2308,BAD
5889,2308,BAD
5890,2308,BAD
5891,2308,BAD
5892,2308,BAD
5893,2308,BAD
5894,2308,BAD
5895,2308,BAD
5896,2308,BAD
5897,2308,BAD
5898,2308,BAD
5899,2308,BAD
5900,2308,BAD
5901,2308,BAD
5902,2308,BAD
5883,2309,BAD
5884,2309,BAD
5885,2309,BAD
5886,2309,BAD
5887,2309,BAD
5888,2309,BAD
5889,2309,BAD
5890,2309,BAD
5891,2309,BAD
5892,2309,BAD
5893,2309,BAD
5894,2309,BAD
5895,2309,BAD
5896,2309,BAD
5897,2309,BAD
5898,2309,BAD
5899,2309,BAD
5900,2309,BAD
5901,2309,BAD
5902,2309,BAD
5883,2310,BAD
5884,2310,BAD
5885,2310,BAD
5886,2310,BAD
5887,2310,BAD
5888,2310,BAD
5889,2310,BAD
5890,2310,BAD
5891,2310,BAD
