X,Y,#
1333,831,BAD
1334,830,BAD
1335,830,BAD
1336,829,BAD
1336,826,BAD
1334,824,BAD
4924,819,BAD
4921,822,BAD
4921,823,BAD
4920,824,BAD
4920,828,BAD
4921,829,BAD
4921,830,BAD
4926,835,BAD
4927,835,BAD
4933,841,BAD
4934,841,BAD
4935,842,BAD
4936,842,BAD
4937,843,BAD
4938,843,BAD
4939,844,BAD
4944,844,BAD
4945,845,BAD
4948,845,BAD
4949,844,BAD
4953,844,BAD
4956,841,BAD
4956,837,BAD
4955,836,BAD
4955,835,BAD
4954,834,BAD
4954,833,BAD
4951,830,BAD
4951,829,BAD
4950,828,BAD
4949,828,BAD
4946,825,BAD
4945,825,BAD
4944,824,BAD
4942,824,BAD
4941,823,BAD
4940,823,BAD
4939,822,BAD
4937,822,BAD
4936,821,BAD
4935,821,BAD
4934,820,BAD
4932,820,BAD
4931,819,BAD
1657,780,BAD
1656,781,BAD
1655,781,BAD
1651,785,BAD
1651,786,BAD
1650,787,BAD
1650,789,BAD
1649,790,BAD
1649,793,BAD
1648,794,BAD
1648,797,BAD
1649,798,BAD
1649,799,BAD
1650,800,BAD
1650,801,BAD
1653,804,BAD
1654,804,BAD
1655,805,BAD
1661,805,BAD
1662,804,BAD
1663,804,BAD
1666,801,BAD
1666,799,BAD
1667,798,BAD
1667,788,BAD
1666,787,BAD
1666,786,BAD
1665,785,BAD
1665,784,BAD
1663,782,BAD
1663,781,BAD
1662,781,BAD
1661,780,BAD
4260,766,BAD
4259,767,BAD
4258,767,BAD
4257,768,BAD
4256,768,BAD
4255,769,BAD
4254,769,BAD
4252,771,BAD
4251,771,BAD
4250,772,BAD
4249,772,BAD
4249,776,BAD
4250,777,BAD
4251,777,BAD
4252,778,BAD
4253,778,BAD
4254,779,BAD
4257,779,BAD
4258,778,BAD
4260,778,BAD
4261,777,BAD
4264,777,BAD
4265,776,BAD
4267,776,BAD
4268,775,BAD
4268,773,BAD
4269,772,BAD
4269,771,BAD
4268,770,BAD
4268,769,BAD
4267,768,BAD
4267,767,BAD
4266,766,BAD
5897,669,BAD
5895,671,BAD
5895,672,BAD
5894,673,BAD
5894,674,BAD
5895,675,BAD
5895,676,BAD
5896,677,BAD
5899,677,BAD
5901,675,BAD
5901,670,BAD
5900,669,BAD
2741,556,BAD
2740,557,BAD
2733,557,BAD
2732,558,BAD
2730,558,BAD
2729,559,BAD
2728,559,BAD
2728,560,BAD
2727,561,BAD
2726,561,BAD
2726,563,BAD
2729,566,BAD
2729,567,BAD
2731,569,BAD
2731,571,BAD
2735,571,BAD
2736,572,BAD
2738,572,BAD
2739,573,BAD
2742,573,BAD
2743,574,BAD
2746,574,BAD
2747,573,BAD
2748,573,BAD
2752,569,BAD
2753,569,BAD
2753,568,BAD
2754,567,BAD
2754,566,BAD
2755,565,BAD
2755,563,BAD
2754,562,BAD
2754,560,BAD
2753,560,BAD
2751,558,BAD
2750,558,BAD
2749,557,BAD
2745,557,BAD
2744,556,BAD
390,551,BAD
389,552,BAD
388,552,BAD
388,553,BAD
387,554,BAD
387,557,BAD
388,558,BAD
388,559,BAD
389,559,BAD
390,560,BAD
395,560,BAD
396,559,BAD
396,558,BAD
397,557,BAD
397,556,BAD
392,551,BAD
391,552,BAD
4050,547,BAD
4049,548,BAD
4049,549,BAD
4050,550,BAD
4050,551,BAD
4051,552,BAD
4054,552,BAD
4055,551,BAD
4055,549,BAD
4054,548,BAD
4053,548,BAD
4052,547,BAD
932,480,BAD
931,481,BAD
931,484,BAD
932,485,BAD
933,485,BAD
934,486,BAD
936,486,BAD
937,485,BAD
937,482,BAD
935,480,BAD
2248,342,BAD
2246,344,BAD
2245,344,BAD
2245,345,BAD
2244,346,BAD
2244,350,BAD
2246,352,BAD
2247,352,BAD
2248,353,BAD
2250,351,BAD
2251,351,BAD
2253,349,BAD
